Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type,Location of Breached Information,Business Associate Present,Breach Submission Time,Breach Submission Datetime,Year,,
Rhode Island Public Transit Authority,RI,Health Plan,5015,12/21/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/21/2021 0:00,2021,,
Chaddock,IL,Healthcare Provider,777,12/21/2021,Theft,Paper/Films,No,12:00:00 AM,12/21/2021 0:00,2021,,
"Monongalia Health System, Inc.",WV,Healthcare Provider,398164,12/21/2021,Hacking/IT Incident,Email,No,12:00:00 AM,12/21/2021 0:00,2021,,
Surgery Group SC,IL,Healthcare Provider,500,12/17/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/17/2021 0:00,2021,,
Northwest Broward Orthopaedics Associates,FL,Healthcare Provider,500,12/17/2021,Hacking/IT Incident,"Desktop Computer, Network Server",No,12:00:00 AM,12/17/2021 0:00,2021,,
Texas ENT Specialists,TX,Healthcare Provider,535489,12/10/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/10/2021 0:00,2021,,
"Eduro Healthcare, LLC",UT,Healthcare Provider,8059,12/9/2021,Hacking/IT Incident,Email,No,12:00:00 AM,12/9/2021 0:00,2021,,
"Weddell Pediatric Dental Specialists, LLC",IN,Healthcare Provider,5356,12/8/2021,Hacking/IT Incident,Email,No,12:00:00 AM,12/8/2021 0:00,2021,,
Javery Pain Institute,MI,Healthcare Provider,1387,12/8/2021,Hacking/IT Incident,Email,No,12:00:00 AM,12/8/2021 0:00,2021,,
"Summit Surgical, LLC",KS,Healthcare Provider,4910,12/7/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/7/2021 0:00,2021,,
"Oregon Anesthesiology Group, P.C.",OR,Healthcare Provider,750500,12/6/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/6/2021 0:00,2021,,
Nippon Life Insurance Company of America,NY,Health Plan,4109,12/3/2021,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,12/3/2021 0:00,2021,,
"Bansley and Kiener, LLP",IL,Business Associate,50119,12/3/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/3/2021 0:00,2021,,
"Bansley and Kiener, LLP",IL,Business Associate,2297,12/3/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/3/2021 0:00,2021,,
"Bansley and Kiener, LLP",IL,Business Associate,2711,12/3/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/3/2021 0:00,2021,,
"Bansley and Kiener, LLP",IL,Business Associate,15814,12/3/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/3/2021 0:00,2021,,
Mertz Manufacturing Inc Health Insurance Plan,OK,Health Plan,868,12/3/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/3/2021 0:00,2021,,
"Great Plains Manufacturing, Inc",KS,Health Plan,4110,12/1/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/1/2021 0:00,2021,,
Commission on Economic Opportunity,NY,Business Associate,29454,11/30/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/30/2021 0:00,2021,,
AMITA Health Medical Group Primary Care Hoffman Estates,IL,Healthcare Provider,1647,11/30/2021,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,11/30/2021 0:00,2021,,
Sound Generations,WA,Business Associate,103576,11/29/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/29/2021 0:00,2021,,
Broward County Public Schools,FL,Health Plan,49608,11/29/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/29/2021 0:00,2021,,
Region IV Area Agency on Aging,MI,Health Plan,3171,11/29/2021,Hacking/IT Incident,Email,No,12:00:00 AM,11/29/2021 0:00,2021,,
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network",NH,Healthcare Provider,501,11/29/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/29/2021 0:00,2021,,
Upstate HomeCare,NY,Healthcare Provider,5114,11/24/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/24/2021 0:00,2021,,
Huntington Hospital,NY,Healthcare Provider,12925,11/24/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,11/24/2021 0:00,2021,,
"Minnesota Women's Care, P.A.",MN,Healthcare Provider,1900,11/24/2021,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,11/24/2021 0:00,2021,,
OAA Orthopaedic Associates,PA,Healthcare Provider,18052,11/23/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/23/2021 0:00,2021,,
Howard University College of Dentistry,DC,Healthcare Provider,80915,11/23/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,12:00:00 AM,11/23/2021 0:00,2021,,
TriValley Primary Care,PA,Healthcare Provider,122806,11/23/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/23/2021 0:00,2021,,
One Community Health,OR,Healthcare Provider,39865,11/22/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/22/2021 0:00,2021,,
United Health Centers of the San Joaquin Valley,CA,Healthcare Provider,500,11/19/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/19/2021 0:00,2021,,
"Anthem, Inc.",IN,Business Associate,2003,11/19/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/19/2021 0:00,2021,,
Blue Shield of California,CA,Health Plan,1520,11/19/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/19/2021 0:00,2021,,
Episcopal Retirement Services,OH,Healthcare Provider,4133,11/18/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/18/2021 0:00,2021,,
Marietta Area Health Care Inc. dba Memorial Health System,OH,Healthcare Provider,501,11/17/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/17/2021 0:00,2021,,
True Health New Mexico,NM,Health Plan,62983,11/17/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/17/2021 0:00,2021,,
"Magnet Solutions, Inc.",NE,Business Associate,1553,11/15/2021,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,11/15/2021 0:00,2021,,
University of Houston for UH College of Optometry,TX,Healthcare Provider,18500,11/12/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/12/2021 0:00,2021,,
"The Centers for Advanced Orthopaedics, LLC",MD,Healthcare Provider,21162,11/11/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/11/2021 0:00,2021,,
Tom Wood Inc. Health Care Plan,IN,Health Plan,2235,11/11/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/11/2021 0:00,2021,,
Ophthalmology Associates,MN,Healthcare Provider,67000,11/11/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,12:00:00 AM,11/11/2021 0:00,2021,,
Integrated Services of Kalamazoo,MI,Healthcare Provider,3754,11/10/2021,Hacking/IT Incident,Email,No,12:00:00 AM,11/10/2021 0:00,2021,,
"North Spring Behavioral Healthcare, Inc.",VA,Healthcare Provider,3245,11/9/2021,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,11/9/2021 0:00,2021,,
The Urology Center of Colorado,CO,Healthcare Provider,137820,11/5/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/5/2021 0:00,2021,,
University of North Carolina Health,NC,Healthcare Provider,946,11/5/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,11/5/2021 0:00,2021,,
University Hospital,NJ,Healthcare Provider,10067,11/5/2021,Unauthorized Access/Disclosure,Other,No,12:00:00 AM,11/5/2021 0:00,2021,,
Three Rivers Regional Commission,GA,Business Associate,2000,11/5/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/5/2021 0:00,2021,,
Mowery Clinic LLC,KS,Healthcare Provider,96000,11/5/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/5/2021 0:00,2021,,
New York Psychotherapy and Counseling Center,NY,Healthcare Provider,28000,11/5/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/5/2021 0:00,2021,,
Maxim Healthcare Group,MD,Healthcare Provider,65267,11/4/2021,Hacking/IT Incident,Email,No,12:00:00 AM,11/4/2021 0:00,2021,,
"Consociate, Inc.",IL,Business Associate,48583,11/3/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/3/2021 0:00,2021,,
Putnam County Memorial Hospital,MO,Healthcare Provider,6916,11/3/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/3/2021 0:00,2021,,
"Utah Imaging Associates, Inc.",UT,Healthcare Provider,582170,11/3/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/3/2021 0:00,2021,,
Washington DC VA Medical Center,DC,Healthcare Provider,1193,11/1/2021,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,11/1/2021 0:00,2021,,
Sea Mar Community Health Centers,WA,Healthcare Provider,688000,10/30/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/30/2021 0:00,2021,,
Surecare Specialty Pharmacy,TX,Healthcare Provider,8412,10/29/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/29/2021 0:00,2021,,
"NHS Management, LLC",AL,Business Associate,501,10/29/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,10/29/2021 0:00,2021,,
"Samaritan Daytop Village, Inc.",NY,Healthcare Provider,15459,10/26/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/26/2021 0:00,2021,,
Lincare Holdings Inc.,FL,Healthcare Provider,1737775,10/26/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/26/2021 0:00,2021,,
ROSE H BAILEY DDS,WA,Healthcare Provider,3000,10/26/2021,Hacking/IT Incident,Desktop Computer,No,12:00:00 AM,10/26/2021 0:00,2021,,
"Star Group, L.P. Health Benefits Plan",CT,Health Plan,9316,10/22/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/22/2021 0:00,2021,,
Educators Mutual Insurance Association,UT,Health Plan,8661,10/22/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/22/2021 0:00,2021,,
"QRS, Inc.",TN,Business Associate,319778,10/22/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,10/22/2021 0:00,2021,,
UNC Hospitals,NC,Healthcare Provider,719,10/19/2021,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No,12:00:00 AM,10/19/2021 0:00,2021,,
"UMass Memorial Health Care, Inc.",MA,Business Associate,209048,10/15/2021,Hacking/IT Incident,Email,Yes,12:00:00 AM,10/15/2021 0:00,2021,,
"Syracuse ASC, LLC",NY,Healthcare Provider,24891,10/14/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/14/2021 0:00,2021,,
University Hospital,NJ,Healthcare Provider,9329,10/8/2021,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,12:00:00 AM,10/8/2021 0:00,2021,,
Independent Health Corporation,NY,Business Associate,541,10/8/2021,Unauthorized Access/Disclosure,Email,Yes,12:00:00 AM,10/8/2021 0:00,2021,,
JDC Healthcare Management LLC,TX,Healthcare Provider,1077635,10/7/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/7/2021 0:00,2021,,
Carteret Health Care,NC,Healthcare Provider,1235,10/6/2021,Theft,Paper/Films,No,12:00:00 AM,10/6/2021 0:00,2021,,
Rockbridge Area Community Services Board,VA,Healthcare Provider,2000,10/4/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/4/2021 0:00,2021,,
OSF HealthCare System,IL,Healthcare Provider,53907,10/1/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/1/2021 0:00,2021,,
Eskenazi Health,IN,Healthcare Provider,1515918,10/1/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,10/1/2021 0:00,2021,,
Premier Management Company,TX,Healthcare Provider,37636,9/30/2021,Unauthorized Access/Disclosure,"Laptop, Other, Other Portable Electronic Device",No,12:00:00 AM,9/30/2021 0:00,2021,,
"Digital Insurance, LLC doing business as OneDigital",GA,Health Plan,895,9/24/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/24/2021 0:00,2021,,
Griffith Energy Services Inc. Welfare Benefit Plan,MD,Health Plan,500,9/24/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/24/2021 0:00,2021,,
"Navistar, Inc. Health Plan and the Navistar, Inc. Retiree Health Benefit and Life Insurance Plan",IL,Health Plan,49000,9/24/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/24/2021 0:00,2021,,
Cerebral Medical Group,FL,Healthcare Provider,875,9/21/2021,Unauthorized Access/Disclosure,Other,No,12:00:00 AM,9/21/2021 0:00,2021,,
"McAllen Surgical Specialty Center, Ltd.",TX,Healthcare Provider,29227,9/20/2021,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Laptop, Network Server",No,12:00:00 AM,9/20/2021 0:00,2021,,
Illinois Department of Human Services and Illinois Department of Healthcare and Family Services,IL,Healthcare Provider,1960,9/20/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/20/2021 0:00,2021,,
Famous Enterprises Inc. Employee Benefit Plan,OH,Health Plan,528,9/17/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/17/2021 0:00,2021,,
Simon Eye Management,DE,Healthcare Provider,144373,9/14/2021,Hacking/IT Incident,Email,No,12:00:00 AM,9/14/2021 0:00,2021,,
Talbert House,OH,Healthcare Provider,45000,9/10/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/10/2021 0:00,2021,,
"Central Texas Medical Specialists, PLLC dba Austin Cancer Centers",TX,Healthcare Provider,36503,9/10/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/10/2021 0:00,2021,,
"HBP Financial Services Group, LTD",CT,Business Associate,938,9/8/2021,Hacking/IT Incident,Email,Yes,12:00:00 AM,9/8/2021 0:00,2021,,
"Radiology Associates of Albuquerque, PA and Advanced Imaging, LLC",NM,Healthcare Provider,501,9/8/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/8/2021 0:00,2021,,
City of Joplin,MO,Health Plan,513,9/8/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/8/2021 0:00,2021,,
"ADEC, Inc.",IN,Healthcare Provider,2000,9/3/2021,Hacking/IT Incident,Email,No,12:00:00 AM,9/3/2021 0:00,2021,,
"USV Optical, Inc.",NJ,Healthcare Provider,180000,9/3/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,9/3/2021 0:00,2021,,
Dan L. Beaupre,WI,Business Associate,2000,9/1/2021,Unauthorized Access/Disclosure,"Network Server, Paper/Films",Yes,12:00:00 AM,9/1/2021 0:00,2021,,
Thomas Eye Group,GA,Healthcare Provider,33994,8/30/2021,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,8/30/2021 0:00,2021,,
"DuPage Medical Group, Ltd.",IL,Healthcare Provider,655384,8/30/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/30/2021 0:00,2021,,
"CareATC, Inc.",OK,Healthcare Provider,98774,8/27/2021,Hacking/IT Incident,Email,No,12:00:00 AM,8/27/2021 0:00,2021,,
Family Medical Center of Michigan,MI,Healthcare Provider,21988,8/26/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/26/2021 0:00,2021,,
"Denton County, Texas",TX,Healthcare Provider,326417,8/24/2021,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,8/24/2021 0:00,2021,,
Gregory P. Vannucci DDS,IA,Healthcare Provider,26144,8/20/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/20/2021 0:00,2021,,
Nova Biomedical Corporation,MA,Health Plan,3774,8/17/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/17/2021 0:00,2021,,
Texoma Community Center,TX,Healthcare Provider,24021,8/16/2021,Hacking/IT Incident,Email,No,12:00:00 AM,8/16/2021 0:00,2021,,
"Alluma, Inc",MN,Healthcare Provider,4117,8/15/2021,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,8/15/2021 0:00,2021,,
University Medical Center Southern Nevada,NV,Healthcare Provider,1300000,8/13/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/13/2021 0:00,2021,,
Waste Management Health and Welfare Benefits Plan,TX,Health Plan,922,8/12/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/12/2021 0:00,2021,,
"St. Joseph's/Candler Health System, Inc.",GA,Healthcare Provider,1400000,8/10/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/10/2021 0:00,2021,,
Electromed,MN,Healthcare Provider,47200,8/9/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,8/9/2021 0:00,2021,,
Wisconsin Institute of Urology S.C.,WI,Healthcare Provider,4819,8/5/2021,Hacking/IT Incident,Email,No,12:00:00 AM,8/5/2021 0:00,2021,,
Vision for Hope,IL,Healthcare Provider,5517,8/3/2021,Hacking/IT Incident,Email,No,12:00:00 AM,8/3/2021 0:00,2021,,
UnitedHealth Group Single Affiliated Covered Entity,MN,Health Plan,774,7/30/2021,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,7/30/2021 0:00,2021,,
Benefis Hospitals Inc,MT,Healthcare Provider,81043,7/27/2021,Hacking/IT Incident,Email,No,12:00:00 AM,7/27/2021 0:00,2021,,
NCH Corporation,TX,Health Plan,11427,7/24/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/24/2021 0:00,2021,,
Medi-Lynx Cardiac Monitoring,TX,Healthcare Provider,1841,7/23/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/23/2021 0:00,2021,,
North Oklahoma County Mental Health Center d/b/a NorthCare,OK,Healthcare Provider,128556,7/21/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/21/2021 0:00,2021,,
"Standard Modern Company, Inc.",MA,Business Associate,2707,7/20/2021,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,7/20/2021 0:00,2021,,
Youth Consultation Service,NJ,Healthcare Provider,2756,7/19/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/19/2021 0:00,2021,,
The University of North Carolina at Chapel Hill School of Medicine,NC,Healthcare Provider,2718,7/19/2021,Hacking/IT Incident,Email,No,12:00:00 AM,7/19/2021 0:00,2021,,
"Dynamic Health Care, Inc.",IL,Business Associate,947,7/16/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/16/2021 0:00,2021,,
Adena Fayette Medical Center,OH,Healthcare Provider,1389,7/16/2021,Hacking/IT Incident,Email,No,12:00:00 AM,7/16/2021 0:00,2021,,
Bakersfield Hematology Oncology Inc.,CA,Healthcare Provider,1286,7/12/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,7/12/2021 0:00,2021,,
Starling Physicians,CT,Healthcare Provider,2808,7/9/2021,Hacking/IT Incident,Email,No,12:00:00 AM,7/9/2021 0:00,2021,,
Lake County Health Department and Community Health Center,IL,Healthcare Provider,705,7/8/2021,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,7/8/2021 0:00,2021,,
HealthReach Community Health Centers,ME,Healthcare Provider,122340,7/6/2021,Improper Disposal,Electronic Medical Record,No,12:00:00 AM,7/6/2021 0:00,2021,,
Hot Springs Health Program,NC,Healthcare Provider,1984,7/6/2021,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,7/6/2021 0:00,2021,,
"Coastal Family Health Center, Inc",MS,Healthcare Provider,62342,7/2/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,7/2/2021 0:00,2021,,
CentraCare Health System,MN,Healthcare Provider,842,7/2/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/2/2021 0:00,2021,,
"Professional Business Systems, Inc., d/b/a Practicefirst Medical Management Solutions and PBS Medcode Corp., (“Practicefirst”)",NY,Business Associate,1210688,7/1/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,7/1/2021 0:00,2021,,
Wayne County Hospital,IA,Healthcare Provider,2016,7/1/2021,Hacking/IT Incident,Email,No,12:00:00 AM,7/1/2021 0:00,2021,,
"Dermatology Group of Arkansas, PA",AR,Healthcare Provider,1579,6/29/2021,Hacking/IT Incident,Email,No,12:00:00 AM,6/29/2021 0:00,2021,,
Peoples Community Health Clinic,IA,Healthcare Provider,40084,6/29/2021,Hacking/IT Incident,Email,No,12:00:00 AM,6/29/2021 0:00,2021,,
"Smile Brands, Inc.",CA,Business Associate,2592494,6/24/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/24/2021 0:00,2021,,
MultiPlan,NY,Business Associate,214956,6/24/2021,Hacking/IT Incident,Email,Yes,12:00:00 AM,6/24/2021 0:00,2021,,
Aultman Health Foundation,OH,Healthcare Provider,7354,6/24/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,6/24/2021 0:00,2021,,
University of Wisconsin Hospitals and Clinics Authority,WI,Healthcare Provider,4318,6/18/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/18/2021 0:00,2021,,
"JFK Medical Associates, PA d/b/a Coastal Medical Group",NJ,Healthcare Provider,1304,6/18/2021,Hacking/IT Incident,"Desktop Computer, Network Server",No,12:00:00 AM,6/18/2021 0:00,2021,,
Health Care Service Corp,IL,Health Plan,543,6/15/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/15/2021 0:00,2021,,
Golden Care Pharmacy LLC,NJ,Healthcare Provider,5530,6/14/2021,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No,12:00:00 AM,6/14/2021 0:00,2021,,
Illinois Attorney General's Office,IL,Business Associate,501,6/9/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/9/2021 0:00,2021,,
UC San Diego Health,CA,Healthcare Provider,495949,6/8/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/8/2021 0:00,2021,,
Glacier Medical Associates,MT,Healthcare Provider,3007,6/7/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,6/7/2021 0:00,2021,,
Wisconsin Department of Health Services,WI,Health Plan,2868,6/4/2021,Hacking/IT Incident,Email,No,12:00:00 AM,6/4/2021 0:00,2021,,
East Jordan Family Health Center,MI,Healthcare Provider,1151,6/4/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,6/4/2021 0:00,2021,,
Steward Medical Group,MA,Healthcare Provider,640,6/4/2021,Hacking/IT Incident,Email,No,12:00:00 AM,6/4/2021 0:00,2021,,
"AtriCure, Inc. Group Health Plan",OH,Health Plan,2487,6/4/2021,Hacking/IT Incident,Email,No,12:00:00 AM,6/4/2021 0:00,2021,,
Five Rivers Health Centers,OH,Healthcare Provider,155748,5/28/2021,Hacking/IT Incident,Email,No,12:00:00 AM,5/28/2021 0:00,2021,,
Lafourche Medical Group,LA,Healthcare Provider,34862,5/28/2021,Hacking/IT Incident,Email,No,12:00:00 AM,5/28/2021 0:00,2021,,
Sturdy Memorial Hospital,MA,Healthcare Provider,57379,5/28/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/28/2021 0:00,2021,,
Walgreen Co.,IL,Healthcare Provider,6498,5/28/2021,Improper Disposal,Paper/Films,No,12:00:00 AM,5/28/2021 0:00,2021,,
LogicGate,IL,Business Associate,47035,5/26/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/26/2021 0:00,2021,,
Buckeye Health Plan,OH,Health Plan,2334,5/26/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/26/2021 0:00,2021,,
Aspen Dental Management LLC,NY,Business Associate,9620,5/21/2021,Theft,Laptop,Yes,12:00:00 AM,5/21/2021 0:00,2021,,
Westwood Obstetrics and Gynecology (“Westwood”),IL,Healthcare Provider,12931,5/21/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/21/2021 0:00,2021,,
Beech Acres Parenting Center,OH,Healthcare Provider,8212,5/21/2021,Hacking/IT Incident,Email,No,12:00:00 AM,5/21/2021 0:00,2021,,
Swedish Covenant Health DBA Swedish Hospital,IL,Healthcare Provider,4206,5/20/2021,Hacking/IT Incident,Email,No,12:00:00 AM,5/20/2021 0:00,2021,,
Rehoboth McKinley Christian Health Care Services,NM,Healthcare Provider,207195,5/19/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/19/2021 0:00,2021,,
Community Access Unlimited,NJ,Business Associate,13813,5/13/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/13/2021 0:00,2021,,
UnitedHealth Group Health Plan SACE,MN,Health Plan,666,5/10/2021,Unauthorized Access/Disclosure,"Network Server, Other",No,12:00:00 AM,5/10/2021 0:00,2021,,
"NEC Networks, LLC d/b/a CaptureRx",TX,Business Associate,1656569,5/5/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,5/5/2021 0:00,2021,,
Orthopedic Associates of Dutchess County,NY,Healthcare Provider,331376,5/4/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/4/2021 0:00,2021,,
Wyoming Department of Health,WY,Health Plan,164010,4/29/2021,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,4/29/2021 0:00,2021,,
Hand to Shoulder Specialists of Wisconsin Ltd.,WI,Healthcare Provider,39317,4/28/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/28/2021 0:00,2021,,
NPS Corporation,WI,Health Plan,999,4/28/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/28/2021 0:00,2021,,
Werner Electric Supply,WI,Health Plan,720,4/28/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/28/2021 0:00,2021,,
"East Brunswick Open Upright MRI, LLC",NJ,Healthcare Provider,12151,4/28/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,12:00:00 AM,4/28/2021 0:00,2021,,
"Open Upright MRI, LLC, d/b/a Woodbridge Radiology",NJ,Healthcare Provider,25272,4/28/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,12:00:00 AM,4/28/2021 0:00,2021,,
Entrust Medical Billing,OH,Healthcare Provider,5426,4/22/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/22/2021 0:00,2021,,
Pediatric Associates of Milwaukee,WI,Healthcare Provider,8160,4/22/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/22/2021 0:00,2021,,
Gyrodata Incorporated,TX,Health Plan,944,4/22/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/22/2021 0:00,2021,,
"Center for Disease Detection, LLC",TX,Healthcare Provider,2436,4/21/2021,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,4/21/2021 0:00,2021,,
"Health Aid of Ohio, Inc.",OH,Healthcare Provider,141149,4/20/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/20/2021 0:00,2021,,
Sterling Area Health Center,MI,Healthcare Provider,3336,4/15/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,4/15/2021 0:00,2021,,
Montefiore Medical Center,NY,Healthcare Provider,943,4/13/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,4/13/2021 0:00,2021,,
"Midwest Transplant Network, Inc.",KS,Healthcare Provider,17580,4/12/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/12/2021 0:00,2021,,
"HME Specialists, LLC dba Home Medical Equipment Holdco, LLC",NM,Healthcare Provider,153013,4/9/2021,Hacking/IT Incident,Email,No,12:00:00 AM,4/9/2021 0:00,2021,,
"Wolfe Clinic, P.C.",IA,Healthcare Provider,527378,4/9/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/9/2021 0:00,2021,,
